"","F-006C1A","F063-C1U","F-001C1A","F-004C1A","A05","F-058-C1A","N10","F-050-C1A","F-003C1A","F-008C1A","F-037-C2U","F-035-C1A","F-046-C2U","N06","F-045-C1A","F-033C1A","F-041-C1A","N16","F-044-C1A","F-028C1A","F-062-C2U","F-059-C1A","A09","F-007C2U","F-054-C2U","F-034C1A","F-039-C1A","F-042-C2U","F-060-C1A","A15","F-027C1A","F-027C2U","F-036-C1A","F-020C1A","F-030C1A","F-019C2U","F-055-C1U","F-011C1A","F-007C1A","F-023C1A","F-016C2U","F-037-C1A","F-002C2U","A04","F-014C2U","F066-C2U","F-024C1A","F-061-C1A","F-032C1A","F-015C1A","N01","F-025C1A","F-030C2U","F-031C1U","F-025C2U","F-040-C1A","F-057-C2U","F-014C1A","F-022C1A","N09","N02","F-047-C1A","F-046-C1A","F-023C2U","F-029C2U","F-044-C2U","F-004C2U","F-009C2U","F-049-C1U","F064-C1A","F-010C1A","A12","F-018C1A","A07","F-022C2U","F-017C1A","F-050-C2U","F-052-C1U","F-039-C2U","F-056-C1A","N04","F-018C2U","F-041-C2U","N07","F-042-C1A","N13","F-017C2U","F-021C2U","N11","F-020C2U","F-048-C1A","F-029C1A","N15","F-002C1A","F-051-C1A","F-028C2U","F066-C1A","F-013C1U","A18","F065-C1A","A02","F-015C2U","F-026C1A","F-061-C2U","N20","F-053-C1U","A17","F-019C1A","F-024C2U","F-062-C1A","F-058-C2U","F-001C2U","N08","F-038-C1A","F-043-C1A","F-051-C2U","F-016C1A","A11","N14","F-012C1A","F-008C2U","A01","A14","A10","F-054-C1A","N17","F-003C2U","F-021C1A","A19","F-057-C1A","F-005C1A","N19","A06","F-009C1A"
"sp34",3,183,2,19,1,23,59,92,396,37,28,108,27,0,58,188,162,0,191,5,12,4,8,0,69,4,16,67,147,0,32,95,198,25,13,199,2,2,3,53,18,108,10,13,3,162,303,13,21,8,1,32,22,54,1,2,5,15,6,22,47,3,41,55,13,62,9,13,47,10,16,3,23,0,14,18,202,21,34,0,1,70,28,0,9,0,33,240,0,1,113,22,4,0,56,9,19,8,0,45,0,122,0,25,1,16,0,1,203,59,90,72,0,140,18,167,93,0,0,49,26,0,0,0,59,0,6,354,38,95,21,6,0,40
"sp35",104,60,243,125,0,48,0,123,405,12,270,132,102,0,107,25,157,2,88,151,25,119,0,6,61,130,79,58,141,0,91,189,130,382,139,128,73,52,52,62,52,69,317,0,54,50,101,71,728,39,0,171,244,281,217,114,98,44,20,1,0,81,22,37,65,124,81,34,46,41,68,2,14,0,96,7,0,335,106,22,0,121,30,0,33,0,52,181,3,31,66,110,0,193,72,94,9,27,0,81,0,77,99,47,0,160,0,196,258,73,14,225,0,85,141,215,76,0,0,23,61,0,2,0,107,0,207,96,4,163,217,0,0,92
"sp36",8,15,0,27,0,28,0,62,30,99,36,21,35,2,37,97,62,0,22,5,4,11,0,1,16,14,4,26,1,0,11,23,26,60,48,67,4,4,2,4,71,11,16,0,12,5,99,19,54,9,0,36,2,13,25,1,45,48,14,0,0,34,10,22,40,33,10,10,16,23,23,0,1,0,86,0,119,77,19,2,0,16,282,0,5,0,11,89,1,3,41,28,0,2,8,1,8,37,0,24,0,17,15,18,0,25,0,1,19,11,38,25,0,44,17,57,5,1,1,19,14,0,0,0,30,0,4,9,0,52,99,0,0,4
"sp37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sp38",51,357,29,8,4,21,1,47,482,4,4,297,863,12,40,220,510,7,472,136,58,47,6,1887,97,2292,62,61,136,3,97,286,359,173,173,915,105,5,439,90,626,636,177,0,13,1353,134,336,43,5,1,87,570,171,93,255,330,68,347,77,5,798,754,537,138,337,14,226,188,362,139,20,60,3,416,25,495,737,218,885,38,153,57,0,44,3,116,113,23,0,275,9,0,131,182,266,282,704,5,314,17,356,271,79,0,474,2,543,725,43,73,667,0,370,122,451,0,2,4,135,57,55,15,30,6,2,31,325,4,136,33,27,6,435
"sp39",4,2,1,18,6,0,0,0,2,0,0,0,1,2,0,0,3,0,0,34,0,2,0,2,0,7,1,1,1,0,2,1,0,0,5,0,0,1,4,4,2,4,1,0,0,4,10,47,0,0,0,2,12,1,5,0,0,0,8,0,2,5,2,0,2,0,5,0,0,3,1,3,0,0,6,5,12,7,1,2,11,0,3,0,0,0,1,0,3,3,1,0,0,0,0,18,6,4,0,6,15,0,8,0,0,3,3,6,0,0,1,0,0,5,2,0,0,17,0,0,1,0,0,5,1,3,3,2,4,3,1,0,2,3
"sp40",0,1,0,1,13,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,1,2,0,1,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,7,0,0,0,0,0,0,3,26,0,0,0,0,0,48,0,0,1,0,0,1,45,0,0,0,0,0,0,1,0
"sp41",1,2,1,1,0,6,7,4,9,7,4,4,5,0,2,4,13,0,2,0,9,2,36,0,8,0,6,6,2,0,4,9,0,7,2,3,1,0,2,2,1,10,1,19,0,3,26,0,2,0,6,4,3,8,0,0,1,0,0,12,1,1,2,10,1,3,1,1,0,0,0,12,1,8,3,0,3,1,8,0,1,2,8,2,5,4,0,17,0,0,6,1,2,3,9,0,1,0,1,1,7,1,0,1,5,0,0,0,5,5,16,6,3,6,4,1,0,4,1,1,10,22,6,0,3,0,5,2,2,3,1,13,0,5
"sp42",8,2,1,24,3,33,1,2,5,4,5,2,1,18,0,3,4,2,1,0,3,33,6,8,42,7,1,0,0,0,0,2,0,3,5,0,0,216,14,20,84,40,88,3,22,2,3,41,0,31,1,2,0,0,3,108,51,0,3,0,0,26,0,5,10,0,12,13,19,1,0,38,62,3,1,17,0,1,3,17,12,0,0,13,0,0,3,2,78,3,0,0,2,0,1,15,21,141,6,3,0,8,1,0,10,4,15,14,0,27,22,70,0,4,20,0,30,1,2,2,1,1,5,2,3,10,9,4,1,1,0,1,4,2
"sp43",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sp44",73,107,1568,68,52,148,503,210,323,184,402,533,108,341,327,160,169,363,60,35,322,38,851,5,246,12,70,179,292,0,561,713,115,124,89,308,20,78,168,93,48,169,428,283,432,126,2080,43,71,418,818,203,65,231,956,117,170,258,148,946,165,102,91,516,319,86,450,83,241,65,198,118,52,264,28,317,0,262,101,22,89,150,594,103,98,164,197,862,70,1469,828,372,1156,58,99,64,71,95,138,57,37,296,161,1138,324,417,86,7,296,732,330,970,326,235,334,509,141,54,8,79,372,514,416,222,698,230,1543,680,770,165,318,104,126,160
"sp45",6,5,7,10,26,2,25,2,1,2,4,10,1,145,0,7,2,98,1,7,0,4,54,3,2,9,2,0,1,182,3,7,0,6,7,0,0,1,13,2,3,4,1,10,0,9,15,26,8,0,10,9,2,2,3,2,1,2,3,31,59,8,3,3,0,0,72,1,0,6,0,66,2,47,35,1,34,5,1,16,73,0,3,24,3,82,0,13,59,2,3,1,82,22,1,5,3,2,84,4,30,2,53,2,12,4,0,4,2,2,4,5,4,2,2,0,1,27,26,0,2,59,108,8,2,29,1,2,63,1,0,202,37,8
"sp46",24,7,8,3,147,29,287,52,5,64,6,25,9,17,10,19,9,126,5,13,4,24,5,4,4,51,10,12,3,1,1,6,7,6,42,2,4,22,27,11,1305,50,20,555,0,5,30,298,7,540,183,11,9,3,128,9,76,7,168,87,84,61,455,73,24,6,20,20,69,35,1,11,50,27,143,4,20,14,2,64,243,23,11,171,56,2,2,20,67,51,31,9,46,96,33,40,201,144,3,16,5,15,32,72,175,37,5,95,3,9,20,98,225,15,2,7,559,1,177,60,27,6,182,65,6,786,7,44,9,13,6,5,51,0
"sp47",1,3,2,4,0,0,3,3,0,0,0,6,0,17,0,3,0,1,4,4,0,3,1,0,0,0,0,0,1,0,5,7,0,2,1,0,0,2,2,2,0,3,1,7,0,2,7,11,6,0,3,0,5,3,0,4,2,2,1,0,0,2,3,1,0,0,7,2,0,1,0,2,1,9,3,2,1,3,0,0,18,6,1,15,0,0,1,0,1,15,0,0,3,0,0,0,0,1,3,2,2,3,9,0,6,8,0,0,1,0,1,2,0,0,1,0,0,0,3,0,0,2,37,1,0,6,8,0,2,2,2,6,20,0
"sp48",261,38,83,0,7,6,7,113,5,1,19,251,64,0,0,29,49,8,131,129,0,98,2,33,121,377,123,28,1,26,20,69,76,0,12,1,0,97,101,0,50,53,416,16,117,147,2,334,190,70,2,104,0,0,608,0,77,1251,77,4,0,351,6,0,158,48,0,38,42,82,0,56,17,0,48,0,0,6,54,223,7,0,6,3,221,0,1,38,1,27,5,103,0,610,75,119,128,629,0,0,0,113,435,651,40,396,18,28,2,32,41,21,1,13,431,35,9,0,0,19,127,12,3,4,111,1,82,120,1,94,0,0,4,265
"sp49",4,1,2,0,26,12,99,3,4,0,4,0,12,228,3,10,9,92,0,3,19,4,337,1,2,16,18,3,0,0,2,2,5,3,2,0,1,0,0,12,1,4,20,49,0,1,0,31,28,19,68,4,3,5,0,1,16,0,7,238,215,5,7,15,7,2,0,2,1,0,1,726,0,94,18,0,0,0,4,0,124,1,19,53,6,14,0,20,119,1,9,23,225,2,1,3,9,28,151,5,7,6,40,13,328,1,1363,0,1,8,8,1,56,1,0,1,7,22,11,5,1,504,178,0,0,155,0,11,1124,2,1,646,94,1
"sp50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,505,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp51",2,34,1,9,24,9,0,0,39,1,3,92,4,0,5,72,12,1,16,4,4,71,19,1,4,11,1,10,9,15,13,0,5,6,43,9,1,3,5,2,3,8,7,1,1,4,6,11,3,12,0,4,71,14,5,6,69,0,0,4,0,14,8,3,2,1,1,6,1,4,10,31,2,0,0,19,67,44,4,2,25,14,1,0,1,0,1,20,34,160,5,7,0,17,5,27,2,1,16,7,7,5,2,1,30,0,37,7,20,1,3,13,1,0,0,16,7,15,2,2,1,55,11,6,1,10,116,44,1,0,0,6,63,0
"sp52",2,0,0,12,0,0,0,1,0,0,0,0,9,4,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,6,3,3,0,6,1,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,2,0,0,35,1,0,0,0,0,1,0,2,39,11,0,1,0,12,0,0,0,1,3,0,0,0,1,0,0,3,0,1,0,0,1,0,0,2,8,0,0,0,9,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0
"sp53",3,0,6,1,3,2,0,0,30,0,1,3,0,6,2,0,4,2,2,14,3,2,2,0,0,21,49,0,0,31,3,2,0,9,17,2,33,0,1,1,0,2,1,0,2,2,5,95,8,0,0,6,3,2,3,40,1,1,2,1,0,3,0,0,1,2,1,5,186,13,0,5,3,0,39,2,98,3,2,4,9,0,0,0,38,2,0,2,3,0,1,0,0,10,1,8,1,4,2,3,1,2,21,10,6,13,2,8,6,8,2,0,1,5,0,37,0,0,0,1,9,0,2,4,0,2,4,1,0,1,0,0,2,1
"sp54",0,1,1,2,0,1,1,1,3,1,2,5,0,14,2,1,2,4,1,12,1,2,11,0,0,3,0,0,2,0,2,2,1,2,5,0,0,2,1,1,10,4,1,2,1,2,4,2,7,2,0,9,3,5,0,0,1,0,1,0,1,1,0,0,1,1,3,1,0,0,0,12,0,0,0,4,3,2,0,0,18,0,0,7,1,0,2,1,51,0,0,1,0,0,1,2,3,1,17,0,0,3,4,4,10,3,3,0,4,0,2,0,0,7,1,0,3,0,6,0,0,1,3,0,1,8,0,12,0,4,0,7,14,1
"sp55",3,58,3,0,0,2,0,0,40,20,0,21,45,1,7,197,2,2,46,8,3,1,2,269,0,30,0,2,2,0,1,2,66,1,5,9,9,0,41,4,0,28,2,0,0,110,9,144,1,0,0,16,0,0,0,7,2,4,8,1,1,7,93,8,8,10,0,1,41,7,0,2,0,0,91,1,178,0,0,16,0,8,0,0,0,0,0,6,0,0,9,2,0,4,0,4,7,74,0,11,0,4,4,12,0,4,0,18,2,1,12,3,0,3,6,25,0,0,0,0,4,20,0,2,0,2,5,25,1,1,5,0,0,4
"sp56",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp57",7,29,0,10,0,7,0,0,0,0,0,62,13,21,68,23,0,0,1,0,19,0,0,0,0,1,0,5,17,0,24,51,0,0,41,0,17,0,0,0,223,0,113,0,5,0,0,0,0,2,0,6,13,28,6,0,0,22,0,0,10,0,9,0,1,17,9,0,0,48,0,0,35,55,29,0,0,30,0,9,121,11,0,913,0,0,0,0,0,0,0,0,0,12,102,0,0,0,13,67,0,53,0,0,0,21,0,0,0,24,9,0,0,0,0,12,19,0,0,26,0,0,0,6,0,0,0,0,70,29,0,24,199,0
"sp58",0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp59",1,0,303,0,6,0,0,21,16,20,47,3,0,0,0,96,0,3,12,4,98,47,0,0,29,0,0,15,0,0,0,3,22,19,0,0,1,2,32,0,0,54,1,14,0,15,16,4,12,65,24,7,1,0,0,0,37,0,4,0,0,11,115,35,10,13,0,14,0,0,9,10,0,0,0,8,4,0,60,5,1,0,0,0,107,1,20,19,2,82,22,4,22,7,1,11,117,16,0,3,0,1,105,25,9,0,9,0,2,0,0,13,0,71,13,0,0,0,0,32,52,18,39,0,141,0,32,38,0,11,0,0,0,2
"sp60",0,0,7,0,0,0,0,0,54,0,2,0,0,0,0,0,1,0,8,0,1,0,17,0,0,0,0,0,0,45,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,1,3,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
"sp61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp62",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
"sp63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp64",2,7,14,0,0,0,0,9,39,21,38,0,0,4,0,0,22,1,10,4,0,17,14,0,29,13,1,48,3,3,5,7,18,76,0,22,1,0,0,0,8,16,0,15,1,3,1,3,7,1,0,48,2,16,0,0,45,4,2,0,1,0,1,1,5,11,0,0,4,0,2,0,7,9,1,22,1,15,0,2,4,3,17,0,0,0,0,20,0,4,1,5,0,1,0,0,1,1,4,0,0,20,13,1,0,0,0,1,0,0,3,19,0,16,21,0,0,0,1,4,0,293,11,0,13,2,17,11,19,0,0,0,2,7
"sp65",3,0,0,11,0,5,0,0,0,0,0,3,26,0,51,134,0,0,0,0,13,0,0,0,0,0,53,0,0,0,0,0,0,1,6,0,87,10,0,38,0,2,3,0,0,1,80,0,0,0,13,0,1,0,11,38,0,0,0,3,22,20,13,90,0,0,3,4,12,3,0,0,0,0,0,0,0,0,37,0,0,0,0,194,8,2,8,0,0,0,247,0,45,0,25,0,3,0,0,33,0,0,0,0,11,0,0,0,62,1,21,0,2,0,0,39,3,0,7,0,4,0,0,1,0,0,0,0,0,0,43,0,0,0
"sp66",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,41,0,1,0,2,0,36,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"sp67",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp69",1,0,4,0,0,0,0,0,61,1,0,0,0,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,39,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,1,0,0,2,0,12,0,0,17,0,0,0,0,0,7,0,2,0,0,10,0,0,2,0,0,0,0,25,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,3,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"sp70",0,1,0,0,0,0,0,0,21,1,0,0,2,1,1,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,23,0,1,9,0,0,0,0,0,11,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,33,1,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,3,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1
"sp71",5,0,1,172,2394,0,2,2,0,20,0,2,4,0,0,30,5,103,1,0,0,26,0,3,0,0,1,2,0,666,9,15,0,0,2,0,0,42,1,3,8,0,4,17,1,26,11,38,27,1,125,0,0,0,17,5,7,0,1,7,188,5,0,4,2,0,53,1,0,1,48,1749,6,0,0,57,0,4,4,0,204,0,4,0,0,0,1,2,227,3,1,9,63,11,4,0,2,0,0,0,1088,0,118,0,425,0,0,13,1,7,0,27,2,0,10,0,5,917,1200,0,1,4,0,0,1,3,0,0,485,2,0,0,1,0
